,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
beef with sha cha sauce,½ pound beef,1 green vegetable,2 tablespoon sha cha sauce,1 teaspoon sugar,1 teaspoon chili oil,Salt to taste,Cooking oil to taste,Garlic and ginger,1 fresh red pepper,1 teaspoon light soy sauce,1 teaspoon starch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
braised pork with white radish,250 grams pork belly,Half of white radish,2 star anise,4 slices of ginger,several sichuan peppercorn,2 or 3 dried red pepper,2 garlic clove: cut into slices,2 teaspoon salt,1 teaspoon dark soy sauce,1 teaspoon light soy sauce,Doubanjiang(optional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mushroom stir fry,1 cup Brown beech mushroom,1 cup White beech mushroom,4 ginger slices,1 garlic clove sliced,1 small section of carrot,1 green long chili pepper,2 teaspoons salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sha cha chicken,half of a whole chicken,2 spring onions chopped (white part and green part separated ),2 tablespoons sha cha sauce,½ tablespoon of crystal sugar (optional),1 cup water,1 tablespoon cooking wine,1 tablespoon of light soy sauce,1 red pepper chopped,1 inch ginger sliced,2 garlic cloves sliced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kelp salad,8oz Kelp (both dried or fresh kelp are ok),1 tablespoon spring onions chopped,1 teaspoon coriander chopped,1 small chili pepper chopped,2 teaspoons sesame oil,1 teaspoon sugar,2 teaspoons vinegar,2 teaspoons light soy sauce,1 tablespoon roasted white sesame seeds,1 tablespoon Sichuan Chili oil (or replace just with chili oil and spare it if you do not like spicy taste very much),2 garlic cloves finely chopped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pork slice in mashed garlic,1 pound pork belly,1 section of ginger,2 sections of green onion,Water as needed,1 small bunch coriander for garnish,4 garlic cloves mashed,1 tablespoon chili oil,2 teaspoons salt,½ tablespoon light soy sauce,½ cup of stock or water (you can use the water for boiling the pork belly),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soybean ribs,1 pound ribs,1 teaspoon chopped chili pepper or freshly chopped chili pepper,1 tablespoon fermented soy beans,"2 garlic cloves, finely chopped","4 green onions, finely chopped",1 teaspoon ground peppercorn,1 small piece of ginger,Salt to taste (spare salt since both soy sauce and oyster saucecontain salt),1 tablespoon light soy sauce,1 teaspoon dark soy sauce (for a darker color),1 tablespoon oyster sauce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fried rice with beaten egg,1 - 2 green onions,2 large eggs,1 teaspoon salt,2 tablespoons cooking oil,4 cups of cooked rice (leftover is recommended),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snow fungus soup,Half of snow fungus flower,1 tablespoon wolfberry,Several red dates,1 tablespoon crystal sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese dry potshrimp,500g shrimp,10 middle size mushrooms,2 little fresh cucumber,1 small bunch of celery,20g dried wood ear,1 teaspoon salt,1 teaspoon chicken essence (optional),1 teaspoon roasted sesame seeds (garnish),1 tablespoon chopped spring onion,10 dry red peppers,1 tbs Sichuan peppercorn,4 pieces of bay leaves,2 pieces of cassia,3 ~5star anise,1 tbs fennel,5 garlic cloves,1 section of ginger,½ tablespoon cooking oil,1 spring onion white,1 tablespoon doubanjiang,½ tablespoon cooking oil,,,,,,,,,,,,,,,,,,,,,,,,,
malatang sichuan hot pot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
types of mushrooms for cooking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese dry pot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stir fried celtuce stem,1 garlic clove,1 small piece of ginger,1 tbsp Sichuan peppercorn,cooking oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicken mushroom soup,Half of whole chicken,1 oz dried shitake mushroom,One piece of ginger,Salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
about,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wonton soup recipes,1 package of wonton wrappers around ½ pounds,"1 small bunch of vegetable leaves (optional) (lettuce,bok choy or other green vegetables)",2 tablespoon finely chopped green onion,½ tablespoon grated ginger,1 egg,1 cup ground pork,½ cup chopped shrimp,½ teaspoon black pepper powder,½ tablespoon sesame oil,1 tablespoon oyster sauce,salt to taste,1 tablespoon sesame oil,1 tablespoon soy sauce,1 teaspoon chili oil,1 teaspoon black vinegar,1 teaspoon smashed garlic,chopped spring onion,salt to taste,1 teaspoon dried sea shrimp,1 teaspoon sesame oil,chopped spring onion,1 small pieces of dried seaweed,salt to taste,,,,,,,,,,,,,,,,,,,,,,,
pickled vegetablesichuan style,2 lbs water,10 oz salt,1 lbs chili red pepper (long chili red pepper); you can also replace it with green ones.,1 tbsp Sichuan peppercorn,1 lbs fresh ginger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese cooking methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doubanjiang,150g dried board beans (peeled),0.3 g kit starter,800g to 1000g fresh pepper,3 tbsp. minced ginger (optional),30ml Chinese white spirit,250ml cooled boiled water,50g salt+40g salt,2 tbsp.fermented sticky rice,oil as needed,a Jar,150g dried board beans (peeled),0.3 g kit starter,800g to 1000g fresh pepper,3 tbsp. minced ginger (optional),30ml Chinese white spirit,250ml cooled boiled water,50g salt+40g salt,2 tbsp.fermented sticky rice,oil as needed,a Jar,2 star anises,3-4 bay leaves,1 tablespoon red Sichuan peppercorn,1 small piece of Chinese cinnamon,1/4 teaspoon cloves,1/4 teaspoon fennel seeds,1 tsaoko,2 cardamons,150g dried board beans (peeled),0.3 g kit starter,800g to 1000g fresh pepper,3 tbsp. minced ginger (optional),30ml white spirit (or other hard liquor),250ml cooled boiled water,50g (for beans) +40g (for fresh peppers) salt,2 tbsp.fermented sticky rice,oil as needed,a Jar,2 star anises,3-4 bay leaves,1 tablespoon red Sichuan peppercorn,1 small piece of Chinese cinnamon,¼ teaspoon cloves,¼ teaspoon fennel seeds,1 tsaoko,2 cardamons
hot pot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
