,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
bhajake poha chivda,roasted puffed rice,green chili (chopped),pandharpuri daale or puffed chana dal,cumin seed,salt to taste,mustard seeds,turmeric powder,cashews,roasted peanuts,curry leaves,powdered sugar,coriander and cumin powder,cooking oil,asafetida powder or hing,roasted puffed rice,green chili (chopped),pandharpuri daale or puffed chana dal,cumin seed,salt to taste,mustard seeds,turmeric powder,cashews,roasted peanuts,curry leaves,powdered sugar,coriander and cumin powder,cooking oil,asafetida powder or hing,roasted puffed rice,green chili (chopped),pandharpuri daale or puffed chana dal,cumin seed,salt to taste,mustard seeds,turmeric powder,cashews,roasted peanuts,curry leaves,powdered sugar,coriander and cumin powder,cooking oil,asafetida powder or hing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lauki chilka chutney,bottle gourd peels,chopped green chilli,sesame seeds,crushed garlic,cooking oil,sugar,coriander leaves,salt to taste,cumin seeds,asafetida or hing,turmeric powder,bottle gourd peels,chopped green chilli,sesame seeds,crushed garlic,cooking oil,sugar,coriander leaves,salt to taste,cumin seeds,asafetida or hing,turmeric powder,bottle gourd peels,chopped green chilli,sesame seeds,crushed garlic,cooking oil,sugar,coriander leaves,salt to taste,cumin seeds,asafetida or hing,turmeric powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rava masala prawn,fresh prawns,rava or semolina,red chilli powder,turmeric powder,salt to taste,black pepper powder,cooking oil,lemon,fresh prawns,rava or semolina,red chilli powder,turmeric powder,salt to taste,black pepper powder,cooking oil,lemon,fresh prawns,rava or semolina,red chilli powder,turmeric powder,salt to taste,black pepper powder,cooking oil,lemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strawberry blueberry smoothie,blueberries,strawberries,greek yogurt or low fat yogurt,low fat milk,ice cubes,honey (optional),blueberries,strawberries,greek yogurt or low fat yogurt,low fat milk,ice cubes,honey (optional),blueberries,strawberries,greek yogurt or low fat yogurt,low fat milk,ice cubes,honey (optional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
very berry smoothie,blueberries,raspberries,blackberries or mulberries,greek yogurt or low fat yogurt,low fat milk,icecubes,blueberries,raspberries,blackberries or mulberries,greek yogurt or low fat yogurt,low fat milk,icecubes,blueberries,raspberries,blackberries or mulberries,greek yogurt or low fat yogurt,low fat milk,icecubes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
salmon curry,atlantic salmon,turmeric powder,lemon juice,salt,onion,tomato,green chillies chopped,coriander leaves,cooking oil,cumin seeds(jeera),green cardamom pods( remove the peel and add only the seeds),ginger paste,garlic paste,coriander powder,garam masala,salt,red chilli powder,water,atlantic salmon,turmeric powder,lemon juice,salt,onion,tomato,green chillies chopped,coriander leaves,cooking oil,cumin seeds(jeera),green cardamom pods( remove the peel and add only the seeds),ginger paste,garlic paste,coriander powder,garam masala,salt,red chilli powder,water,atlantic salmon,turmeric powder,lemon juice,salt,onion,tomato,green chillies chopped,coriander leaves,cooking oil,cumin seeds(jeera),green cardamom pods( remove the peel and add only the seeds),ginger paste,garlic paste,coriander powder,garam masala,salt,red chilli powder,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mysore pak,ghee (clarified butter),vegetable oil,chickpea flour/gram flour/besan,sugar,water,ghee (clarified butter),vegetable oil,chickpea flour/gram flour/besan,sugar,water,ghee (clarified butter),vegetable oil,chickpea flour/gram flour/besan,sugar,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gutti vankaya,small eggplants,coriander powder,garam masala powder,cumin powder,ginger garlic paste,green chili,peanuts,sesame seeds,fresh grated coconut,mustard seeds,cumin seeds,oil+oil for frying,diced onion,tamarind paste(adjust as per tanginess desired),red chili powder,spring curry leaves,bay leaf,small eggplants,coriander powder,garam masala powder,cumin powder,ginger garlic paste,green chili,peanuts,sesame seeds,fresh grated coconut,mustard seeds,cumin seeds,oil+oil for frying,diced onion,tamarind paste(adjust as per tanginess desired),red chili powder,spring curry leaves,bay leaf,small eggplants,coriander powder,garam masala powder,cumin powder,ginger garlic paste,green chili,peanuts,sesame seeds,fresh grated coconut,mustard seeds,cumin seeds,oil+oil for frying,diced onion,tamarind paste(adjust as per tanginess desired),red chili powder,spring curry leaves,bay leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goan drumstick curry,dry red chili powder,turmeric powder,coconut,water,oil,asafetida,mustard seeds,salt,drumsticks,jaggery,dry red chili powder,turmeric powder,coconut,water,oil,asafetida,mustard seeds,salt,drumsticks,jaggery,dry red chili powder,turmeric powder,coconut,water,oil,asafetida,mustard seeds,salt,drumsticks,jaggery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dinner rolls,bread flour,water,sugar,salt,milk,melted butter,eggs,dry yeast,bread flour,water,sugar,salt,milk,melted butter,eggs,dry yeast,bread flour,water,sugar,salt,milk,melted butter,eggs,dry yeast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daal chole,chickpeas,toor dal/ yellow lentils,finely chopped onion,chopped green chili,chopped garlic,chopped ginger,unsalted butter,water,salt,turmeric,red chili powder,corriander powder,ghee,curry leaves,cumin seeds,kasuri methi,ketchup,chickpeas,toor dal/ yellow lentils,finely chopped onion,chopped green chili,chopped garlic,chopped ginger,unsalted butter,water,salt,turmeric,red chili powder,corriander powder,ghee,curry leaves,cumin seeds,kasuri methi,ketchup,chickpeas,toor dal/ yellow lentils,finely chopped onion,chopped green chili,chopped garlic,chopped ginger,unsalted butter,water,salt,turmeric,red chili powder,corriander powder,ghee,curry leaves,cumin seeds,kasuri methi,ketchup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pulihora,"rice (add 4 cups of water and cook,the rice should be cooked and separate, not mushy)",turmeric powder,spring curry leave,salt as per taste,tamarind paste or a large lemon sized tamarind boiled in water and juice extracted,chana dal,urad dal,mustard seeds,cumin seeds,dry red chili,green chili slit length wise,grated ginger,pinch of asefatida,methi powder,sugar or jaggery,peanuts,oil or ghee,"rice (add 4 cups of water and cook,the rice should be cooked and separate, not mushy)",turmeric powder,spring curry leave,salt as per taste,tamarind paste or a large lemon sized tamarind boiled in water and juice extracted,chana dal,urad dal,mustard seeds,cumin seeds,dry red chili,green chili slit length wise,grated ginger,pinch of asefatida,methi powder,sugar or jaggery,peanuts,oil or ghee,"rice (add 4 cups of water and cook,the rice should be cooked and separate, not mushy)",turmeric powder,spring curry leave,salt as per taste,tamarind paste or a large lemon sized tamarind boiled in water and juice extracted,chana dal,urad dal,mustard seeds,cumin seeds,dry red chili,green chili slit length wise,grated ginger,pinch of asefatida,methi powder,sugar or jaggery,peanuts,oil or ghee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aratikaya bajji,chickpea flour/besan/senagapindi,rice flour,peeled and sliced plantain,red chili powder,baking soda,ajwain/carrom seeds/vaamu,salt to taste,ginger garlic paste,oil for deep frying,turmeric powder,chickpea flour/besan/senagapindi,rice flour,peeled and sliced plantain,red chili powder,baking soda,ajwain/carrom seeds/vaamu,salt to taste,ginger garlic paste,oil for deep frying,turmeric powder,chickpea flour/besan/senagapindi,rice flour,peeled and sliced plantain,red chili powder,baking soda,ajwain/carrom seeds/vaamu,salt to taste,ginger garlic paste,oil for deep frying,turmeric powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quail roast,small quail birds(remove the backbone  and chop each quail to 4 pieces),chopped onion,garam masala powder,ginger garlic paste,red chili powder,turmeric,juice of half a lemon,salt to taste,oil,coriander powder,fresh grated coconut,dry red chili,green chili minced,small quail birds(remove the backbone  and chop each quail to 4 pieces),chopped onion,garam masala powder,ginger garlic paste,red chili powder,turmeric,juice of half a lemon,salt to taste,oil,coriander powder,fresh grated coconut,dry red chili,green chili minced,small quail birds(remove the backbone  and chop each quail to 4 pieces),chopped onion,garam masala powder,ginger garlic paste,red chili powder,turmeric,juice of half a lemon,salt to taste,oil,coriander powder,fresh grated coconut,dry red chili,green chili minced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicken liver with dill leaves sauce,chicken livers,coconut milk,loosely packed dill leaves,green chili,diced onion,turmeric powder,butter,ginger garlic paste,coriander powder,garam masala powder,red chili powder(adjust as per your spice level),chicken livers,coconut milk,loosely packed dill leaves,green chili,diced onion,turmeric powder,butter,ginger garlic paste,coriander powder,garam masala powder,red chili powder(adjust as per your spice level),chicken livers,coconut milk,loosely packed dill leaves,green chili,diced onion,turmeric powder,butter,ginger garlic paste,coriander powder,garam masala powder,red chili powder(adjust as per your spice level),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kalakand,full fat milk,sugar,lemon juice,finely sliced pistachios,full fat milk,sugar,lemon juice,finely sliced pistachios,full fat milk,sugar,lemon juice,finely sliced pistachios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chakkara pongali,raw white rice,yellow moong dal,grated jaggery(adjust sweetness),pinch of salt,pinch of black pepper powder,pinch of edible camphor,cardamom powder,full fat milk,ghee(clarified butter),cashews,raisins,grated coconut,rock candy pieces(optional),raw white rice,yellow moong dal,grated jaggery(adjust sweetness),pinch of salt,pinch of black pepper powder,pinch of edible camphor,cardamom powder,full fat milk,ghee(clarified butter),cashews,raisins,grated coconut,rock candy pieces(optional),raw white rice,yellow moong dal,grated jaggery(adjust sweetness),pinch of salt,pinch of black pepper powder,pinch of edible camphor,cardamom powder,full fat milk,ghee(clarified butter),cashews,raisins,grated coconut,rock candy pieces(optional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
almond walnut baklava,"5""x5"" pastry sheets",almonds,walnuts,honey,cinnamon powder,powdered sugar,salt,flour,oil or butter to grease the baking sheet,"5""x5"" pastry sheets",almonds,walnuts,honey,cinnamon powder,powdered sugar,salt,flour,oil or butter to grease the baking sheet,"5""x5"" pastry sheets",almonds,walnuts,honey,cinnamon powder,powdered sugar,salt,flour,oil or butter to grease the baking sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
puri,whole wheat flour,oil,oil for deep frying,pinch of salt,water,whole wheat flour,oil,oil for deep frying,pinch of salt,water,whole wheat flour,oil,oil for deep frying,pinch of salt,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paneer bhurji,crumbled paneer,diced onion,diced green onion,green chili minced,ginger garlic paste,diced tomatoes,coriander powder,garam masala powder,salt to taste,"red chili powder(optional ,adjust as per your spice levels)",oil,turmeric powder,crumbled paneer,diced onion,diced green onion,green chili minced,ginger garlic paste,diced tomatoes,coriander powder,garam masala powder,salt to taste,"red chili powder(optional ,adjust as per your spice levels)",oil,turmeric powder,crumbled paneer,diced onion,diced green onion,green chili minced,ginger garlic paste,diced tomatoes,coriander powder,garam masala powder,salt to taste,"red chili powder(optional ,adjust as per your spice levels)",oil,turmeric powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thai red curry,boneless chicken breasts,ginger garlic paste,salt,coconut milk,soy sauce,corriander powder,cumin powder,chilli garlic sauce (add less or more based on your spice level),brown sugar,ginger,chopped lemon grass (or 2 large leaves),tomato ketchup,oil,water,kashmiri chili powder for color,chili flakes,broccoli,mushrooms,baby corn,boneless chicken breasts,ginger garlic paste,salt,coconut milk,soy sauce,corriander powder,cumin powder,chilli garlic sauce (add less or more based on your spice level),brown sugar,ginger,chopped lemon grass (or 2 large leaves),tomato ketchup,oil,water,kashmiri chili powder for color,chili flakes,broccoli,mushrooms,baby corn,boneless chicken breasts,ginger garlic paste,salt,coconut milk,soy sauce,corriander powder,cumin powder,chilli garlic sauce (add less or more based on your spice level),brown sugar,ginger,chopped lemon grass (or 2 large leaves),tomato ketchup,oil,water,kashmiri chili powder for color,chili flakes,broccoli,mushrooms,baby corn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweet karanji goan neureos,semolina,wheat flour refined (maida),milk,salt to taste,cooking oil,cooking oil refined (for frying),grated cocunut,sugar,ghee,green cardamom powder,chopped almonds,chopped cashews,raisins,semolina,wheat flour refined (maida),milk,salt to taste,cooking oil,cooking oil refined (for frying),grated cocunut,sugar,ghee,green cardamom powder,chopped almonds,chopped cashews,raisins,semolina,wheat flour refined (maida),milk,salt to taste,cooking oil,cooking oil refined (for frying),grated cocunut,sugar,ghee,green cardamom powder,chopped almonds,chopped cashews,raisins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pinaca pinagr,brown rice,pieces of goan coconut jaggery,sauf or fennel seeds,black pepper,ginger powder,grated coconut,brown rice,pieces of goan coconut jaggery,sauf or fennel seeds,black pepper,ginger powder,grated coconut,brown rice,pieces of goan coconut jaggery,sauf or fennel seeds,black pepper,ginger powder,grated coconut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cocad gons,tender coconuts,sugar,sheets of butter paper or kite papper,water,tender coconuts,sugar,sheets of butter paper or kite papper,water,tender coconuts,sugar,sheets of butter paper or kite papper,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mysore bonda,maida/all purpose flour,rice flour,chopped green chillies,chopped ginger,cumin seeds,buttermilk,oil for frying,salt,baking soda,maida/all purpose flour,rice flour,chopped green chillies,chopped ginger,cumin seeds,buttermilk,oil for frying,salt,baking soda,maida/all purpose flour,rice flour,chopped green chillies,chopped ginger,cumin seeds,buttermilk,oil for frying,salt,baking soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tendli vegetable,tendli,green chiles,turmeric powder (haldi powder),cumin seeds,coriander powder,coconut  (grated),salt,oil,water,tendli,green chiles,turmeric powder (haldi powder),cumin seeds,coriander powder,coconut  (grated),salt,oil,water,tendli,green chiles,turmeric powder (haldi powder),cumin seeds,coriander powder,coconut  (grated),salt,oil,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spinach and corn dip,corn kernel,spinach,butter,milk,pepper,chili flakes,salt to taste,all-purpose flour or maida,parmesan cheese (optional),corn kernel,spinach,butter,milk,pepper,chili flakes,salt to taste,all-purpose flour or maida,parmesan cheese (optional),corn kernel,spinach,butter,milk,pepper,chili flakes,salt to taste,all-purpose flour or maida,parmesan cheese (optional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coconut prawn curry,prawn (deveined and headless),onion paste,ginger paste,bay leaves,cloves,cinnamon,cardamom,turmeric powder (haldi powder),red chilli powder,garam masala powder,salt,coconut milk,ghee,prawn (deveined and headless),onion paste,ginger paste,bay leaves,cloves,cinnamon,cardamom,turmeric powder (haldi powder),red chilli powder,garam masala powder,salt,coconut milk,ghee,prawn (deveined and headless),onion paste,ginger paste,bay leaves,cloves,cinnamon,cardamom,turmeric powder (haldi powder),red chilli powder,garam masala powder,salt,coconut milk,ghee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cream chicken,boneless chicken cut into cubes,ginger garlic paste,ghee,salt,pepper powder,kasuri methi,cream,boneless chicken cut into cubes,ginger garlic paste,ghee,salt,pepper powder,kasuri methi,cream,boneless chicken cut into cubes,ginger garlic paste,ghee,salt,pepper powder,kasuri methi,cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sorakaya kothimeera pachadi,chopped bottle gourd pieces,bunch of cilantro,green chilies,sugar,mustard seeds,fenugreek seeds,garlic cloves,sesame seeds or 1 teaspoon sesame paste,urad dal,pinch of turmeric powder,spring of curry leaves,dry red chili,tamarind paste,salt to taste,oil,chopped bottle gourd pieces,bunch of cilantro,green chilies,sugar,mustard seeds,fenugreek seeds,garlic cloves,sesame seeds or 1 teaspoon sesame paste,urad dal,pinch of turmeric powder,spring of curry leaves,dry red chili,tamarind paste,salt to taste,oil,chopped bottle gourd pieces,bunch of cilantro,green chilies,sugar,mustard seeds,fenugreek seeds,garlic cloves,sesame seeds or 1 teaspoon sesame paste,urad dal,pinch of turmeric powder,spring of curry leaves,dry red chili,tamarind paste,salt to taste,oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fried wonton,scallion,grounded pork,soy sauce,chicken powder,sugar,rice wine (red wine will work as well),wonton skin (available in chinatown stores),olive oil,egg,,oil for deep frying,scallion,grounded pork,soy sauce,chicken powder,sugar,rice wine (red wine will work as well),wonton skin (available in chinatown stores),olive oil,egg,,oil for deep frying,scallion,grounded pork,soy sauce,chicken powder,sugar,rice wine (red wine will work as well),wonton skin (available in chinatown stores),olive oil,egg,,oil for deep frying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
