,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
Rangoon Na Vaal ( Gujarati Recipe),2 cups rangoon na vaal (broad field beans),1/4 tsp soda bi-carb,2 tbsp oil,1/4 tsp carom seeds (ajwain),1/4 tsp asafoetida (hing),1/2 tsp chilli powder,1/4 tsp turmeric powder (haldi),1 tbsp grated jaggery (gur),"1 tsp tamarind (imli) pulp , optional", salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mooli Muthias,1 cup grated radish (mooli) with stems and leaves,1/2 cup besan (Bengal gram flour),1/2 cup jowar (white millet) flour,2 tbsp curds (dahi),1 tbsp chopped coriander (dhania),1/2 tbsp lemon juice,1 tsp oil,1 tsp ginger-green chilli paste,"2  large cloves garlic (lehsun), grated",1/2 tsp turmeric powder (haldi),1 tbsp sugar (optional), salt to taste,1 tsp cumin seeds (jeera),1 tsp sesame seeds (til),1/4 tsp asafoetida (hing),1 1/2 tbsp oil,2 tbsp chopped coriander (dhania), oil for greasing,,,,,,,,,,,,,,,,,,,,
Rice Bhakri,1 1/2 cups whole wheat flour (gehun ka atta),1 tsp oil, salt to taste,1 cup rice flour (chawal ka atta),1 tsp oil,1/2 cup grated carrot,1 tsp green chilli paste,2 tbsp chopped coriander (dhania),"1 tbsp mint leaves (phudina) , chopped", salt to taste,1 tsp oil for cooking,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaju Kopra Sheera (  Mithai),1/2 cup coarsely powdered cashewnuts (kaju),1/2 cup grated fresh coconut,2 tbsp ghee,5 tbsp sugar,1/4 tsp cardamom (elaichi) powder, a few saffron (kesar) strands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khandvi,3/4 cup besan (Bengal gram flour),2 1/4 cups  thin buttermilk,1/2 tsp turmeric powder (haldi),1/4 tsp asafoetida (hing),4 green chillies,"12  mm. (1/2"") piece ginger (adrak)", salt to taste,3 tbsp oil,1 tsp mustard seeds ( rai / sarson),2  pinches of asafoetida (hing),3 tbsp chopped corriander (dhania),3 tbsp grated fresh coconut,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ganthias, Gujarati Gathiya Recipe",1 1/2 cups besan (bengal gram flour),1/2 tsp papad khar,1 tsp salt,1/2 tsp asafoetida (hing),1 tsp carom seeds (ajwain),3 tbsp hot oil, oil for greasing and deep-frying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fansi Dhokli ( Gujarati Recipe),3 tbsp besan (bengal gram flour),1 tbsp whole wheat flour (gehun ka atta),1/2 tsp red chilli powder,1/4 tsp turmeric powder (haldi),1/4 tsp asafoetida (hing),2 pinches carom seeds (ajwain),1/2 tsp oil, salt to taste,2 cups chopped french beans,2 tsp oil,1 tsp carom seeds (ajwain),1/4 tsp asafoetida (hing),1/2 tsp chilli powder, a pinch sugar, salt to taste,1 tbsp chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,
Kaachi Keri No Sambhaar,1 raw mango,1 tsp oil,3 tbsp sambhaar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poha Khichu ( Microwave Recipe),2 cups beaten rice (poha)  (patla poha),1 cup water, a pinch of baking soda  (optional),1/2 tsp roasted cumin seeds (jeera) powder,1/2 tsp chilli powder,"1 slit green chilli , chopped",1 tsp sesame (til) oil,1 tsp chopped coriander (dhania), salt to taste,1 tsp sesame (til) oil,1/2 tsp chilli powder,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phulkas / Chapatis,1 cup whole wheat flour (gehun ka atta),1/2 tsp salt,1 tsp oil, ghee for serving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn Panki ( Healthy Breakfast Recipe),2 grated sweet corn cob,3 tbsp semolina (rava),2 tsp chopped coriander (dhania),1 tsp finely chopped green chillies,1 tbsp fresh low fat curds  (dahi),1 tsp oil, salt to taste,3 banana leaves (kele ka patta), oil for greasing, carrot garlic chutney,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pressure Cooker Oondhiya,"4 cups  (½ kg.) surti papdi (fresh vaal), cleaned and stringed","2 cups  (½ kg.) purple yam (kand), peeled and cut into large cubes","10 to 12  (250 grams) baby potatoes, peeled","1 cup  (250 grams) sweet potato (shakarkand), peeled and cubed",8 to 10  (250 grams) small sized brinjals (baingan / eggplant),3 bananas,1 recipe methi muthias (recipe below),1 tbsp carom seeds (ajwain),1/4 tsp asafoetida (hing),2 tsp ginger-green chilli paste,1/4 tsp baking soda,1 cup  fresh grated coconut,3/4 cup chopped corriander (dhania),"1/2 cup green garlic, chopped (optional)",4 tsp coriander-cumin seeds (dhania-jeera) powder,1 tbsp ginger-green chilli paste,2 tsp chilli powder,4 tsp sugar,1 tbsp lemon juice, salt to taste,1  bunch chopped fenugreek (methi) leaves,1/2 cup whole wheat flour (gehun ka atta),1/2 cup besan (Bengal gram flour),1 tsp ginger-green chilli paste,3 tsp sugar,1 tbsp lemon juice,1/2 tsp turmeric powder (haldi),  a pinch of baking soda,3 tbsp oil, salt to taste,1/4 tsp asafoetida (hing),4 tbsp oil,,,,,,
Rajgira Paratha Canapés,1/2 cup rajgira flour,1/4 cup grated bottle gourd (doodhi / lauki),1 tbsp oil, oil for cooking, salt to taste,"1 cup potato ,  boiled and cubed",1/2 tsp cumin seeds (jeera),1 to 2 green chillies,1 tbsp chopped coriander (dhania),1 tsp oil, salt to taste, green chutney, grated coconut,,,,,,,,,,,,,,,,,,,,,,,,,
Green Tomato and Bhujia Vegetable,3 cups roughly chopped green tomatoes,1/2 cup bhujia,1 tbsp oil,1/2 tsp cumin seeds (jeera),1/4 tsp asafoetida (hing),1/2 tsp finely chopped ginger (adrak),1/2 tsp turmeric powder (haldi),1 1/2 tsp coriander-cumin seeds (dhania-jeera) powder,1/2 tsp chilli powder,1 tsp sugar, salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hariyali Chola Dal Dhokla,1 cup chola dal (split cow peas),1/2 cup chopped fenugreek (methi) leaves,1/2 cup shredded spinach (palak),1 tbsp roughly chopped green chillies,1/4 tsp asafoetida (hing),2 tbsp low-fat curds (dahi),1/4 tsp turmeric powder (haldi),1 tsp fruit salt,2 tsp oil,1/2 tsp mustard seeds ( rai / sarson),1 tsp finely chopped green chillies,1/4 tsp asafoetida (hing),,,,,,,,,,,,,,,,,,,,,,,,,,
Healthy Sheera,2 tbsp whole wheat flour (gehun ka atta),2 tbsp ragi (nachni / red millet) flour,2 tbsp soya flour,8 tsp grated jaggery (gur),1/2 tsp cardamom (elaichi) powder,2 tsp oil,"4 almonds (badam), slivered",2 tbsp chopped walnuts (akhrot),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methambo,"1 1/2 cups raw mangoes, peeled and cubed",1 tsp salt,1/2 tsp turmeric powder (haldi),2 cups  (300 grams) grated jaggery (gur),4 tsp chilli powder,4  round red chillies (boria marcha),1/2 tsp mustard seeds ( rai / sarson),1/2 tsp fenugreek (methi),2 to 3  sticks cinnamon (dalchini),1/4 tsp asafoetida (hing),4 tbsp mustard oil,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dapka Kadhi ( Jain Recipe),2 tbsp besan (bengal gram flour),2 cups curds (dahi),1 tsp green chilli paste,2 curry leaves (kadi patta),2 tsp sugar  (approx.),2 tbsp chopped coriander (dhania), salt to taste,1/2 tsp cumin seeds (jeera),1/2 tsp mustard seeds ( rai / sarson), a pinch of asafoetida (hing),"1 whole dry kashmiri red chilli , broken into pieces",2 tsp oil,1 cup yellow moong dal (split yellow gram),1 tsp green chilli paste,1/2 tsp sugar, a pinch baking soda,1 tbsp oil, salt to taste,,,,,,,,,,,,,,,,,,,,
Tendli Bhaat ( Jain Recipe),"1 1/2 cups tendli , sliced horizontally",1 1/2 cups long grained rice (basmati),1/2 tsp mustard seeds ( rai / sarson),1/2 tsp cumin seeds (jeera),3 cardamoms  (elaichi),12 of cinnamon (dalchini),5 cloves (laung / lavang),1/4 tsp fenugreek (methi) seeds,"2 green chillies , slit green chillies lengthwise",5 curry leaves (kadi patta),1/4 tsp asafoetida (hing),1/2 tsp turmeric powder (haldi),1/2 tsp chilli powder,1/4 cup freshly grated coconut,1 tbsp oil, salt to taste,"2 cloves (laung / lavang) , dry roasted",12 of cinnamon (dalchini),1 tsp roasted coriander (dhania) seeds,1 tsp roasted cumin seeds (jeera),1 tsp caraway seeds (shahjeera),1/2 cup grated dry coconut (kopra),2 tbsp sesame seeds (til),1/4 cup freshly grated coconut,2 tbsp chopped coriander (dhania),2 tbsp fried cashewnuts (kaju),,,,,,,,,,,,
Whole Wheat Chapattis,1 cup whole wheat flour (gehun ka atta),1/2 tsp salt,1 tsp oil, whole wheat flour (gehun ka atta) for rolling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moong Dal Khandvi,1 cup soaked yellow moong dal (split yellow gram),"1/2 cup curds (dahi), whisked",1 tsp green chilli paste,1/2 tsp turmeric powder (haldi),2  pinches of asafoetida (hing), salt to taste,1 tsp mustard seeds ( rai / sarson),1 tsp sesame seeds (til),1/4 tsp asafoetida (hing),2 tbsp chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice Panki ( Non- Fried Snacks ),2 cups rice flour (chawal ka atta),"1/2 cup curds (dahi) , beaten", salt to taste,1/4 tsp asafoetida (hing),"1 tsp cumin seeds (jeera) , roughly ground",1 tsp ginger- green chilli paste,2 tsp crushed garlic (lehsun),2 tsp melted ghee, a pinch of turmeric powder (haldi),"4 to 6 banana leaves (kele ka patta)  ,  cut into 150 mm x 150 mm.6 inches pieces", oil for greasing and cooking,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pav Bhaji Dhokla ( Non- Fried Snacks ),1 cup besan (bengal gram flour),1 1/2 tbsp semolina (rava),3 1/2 tsp sugar,1 tsp ginger- green chilli paste,1/2 tsp citric acid (nimbu ka phool),1 tsp lemon juice, salt to taste,1 1/2 tsp fruit salt,1/4 tsp oil for greasing,"3 to 4 kashmiri chillies  ,  deseeded and soaked in warm water","3 to 4 clove garlic (lehsun) , roughly chopped",2 tbsp butter,1 tsp cumin seeds (jeera),1/4 cup chopped onions,1/4 chopped capsicum,3/4 cup tomatoes puree,1 tsp chilli powder,1 1/2 tbsp pav bhaji masala, salt to taste,1 cup boiled and mashed potatoes,1/4 cup boiled green peas,2 tbsp finely chopped coriander (dhania),4 to 5 tbsp grated processed cheese,,,,,,,,,,,,,,,
Methi Dal Dhokli ( Know Your Dals and Pulses),1/2 cup toovar (arhar) dal,1 tsp oil,1 tsp ghee,1 tsp mustard seeds,1 tsp cumin seeds,1 tsp fenugreek  seeds,10 curry leaves (kadi patta),2 cloves (laung / lavang),2 sticks cinnamon (dalchini),1 bayleaf (tejpatta),2 small round red chillies (boriya mirch), a pinch asafoetida,"4 to 5 kokum , soaked in 1\4 cup",1 tbsp peanuts,1/4 cup chopped tomatoes,1/2 tsp turmeric powder (haldi),1/2 lemon,"4 green chillies  ,  slit",1/2 tsp chilli powder,1 tsp grated ginger (adrak),2 tbsp grated jaggery (gur), salt to taste,1 cup whole wheat flour (gehun ka atta),3/4 cup chopped fenugreek  leaves,1/2 tsp turmeric powder (haldi),1/2 tsp chilli powder,1/4 tsp asafoetida (hing),1 tsp oil,1/4 tsp carom seeds (ajwain), salt to taste,1/4 cup chopped coriander (dhania),,,,,,,
Moong Dal Khandvi ( Know Your Flours ),1 cup yellow moong dal (split yellow gram) flour,1 cup curds (dahi),2 tsp ginger-green chilli paste,1/4 tsp pinch turmeric powder (haldi),1/2 tsp asafoetida (hing), salt to taste,1 tbsp oil,1 tsp mustard seeds ( rai / sarson),1 tsp sesame seeds (til),3 to 4 curry leaves (kadi patta), oil for greasing,2 tbsp finely chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,,,,
Mixed Dal Handvo ( Non- Fried Snacks ),1/2 cup rice (chawal),1/4 cup toovar (arhar) dal,1 tbsp urad dal (split black lentils),1 tbsp green moong dal (split  green gram),1 tbsp chana dal (split bengal gram),1 tbsp whole wheat (gehun)  (optional),1/4 cup sour curds (khatta dahi),3/4 cup grated bottle gourd (doodhi / lauki),1 tsp oil,2 tsp lemon juice, a pinch of baking soda,1 1/2 tsp sugar,1/4 tsp chilli powder,1/4 tsp turmeric powder (haldi),1 tsp ginger-green chilli paste, salt to taste,2 tsp oil,1/2 tsp mustard seeds ( rai / sarson),1/2 tsp sesame seeds (til),1/2 tsp carom seeds (ajwain),1/4 tsp asafoetida (hing),,,,,,,,,,,,,,,,,
Lapsi Methi Muthia ( Non- Fried Snacks ),"1 cup cooked broken wheat (dalia) , refer handy tip",1/2 cup finely chopped fenugreek (methi) leaves,1/2 cup bajra (black millet) flour,2 tsp grated garlic (lehsun),2 tsp ginger-green chilli paste,2 tsp sugar, a pinch of baking soda,1/4 tsp turmeric powder (haldi),2 tbsp fresh curds (dahi), salt to taste,1/4 tsp oil for greasing,1 tsp oil for tempering,1/2 tsp mustard seeds ( rai / sarson),1 tsp sesame seeds (til),1/4 tsp asafoetida (hing),,,,,,,,,,,,,,,,,,,,,,,
Makai Jajaria ( Pressure Cooking ),3/4 cup grated sweet corn kernels (makai ke dane) cobs,1 tbsp grated low fat mava (khoya),1/2 cup sugar,1/4 cup warm milk,1/4 tsp cardamom (elaichi) powder,1 tbsp ghee, a few saffron (kesar) strands,1 tbsp almond (badam) slivers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Healthy Oondhiya, Healthy Diabetic Recipe",1 1/2 cups chopped fenugreek (methi) leaves,1/2 cup whole wheat flour (gehun ka atta),1/2 cup besan (bengal gram flour),1 tsp ginger-green chilli paste,2 tsp sugar substitute,2 tsp lemon juice,1/2 tsp turmeric powder (haldi),1 tsp fruit salt,1 tsp oil, salt to taste,1 cup chopped coriander (dhania),1/2 cup beaten rice (poha),1/4 cup finely chopped green garlic (hara lehsun),1 tsp ginger-green chilli paste,1 tsp chilli powder,2 tsp sugar substitute,1/2 tsp carom seeds (ajwain),1/4 tsp turmeric powder (haldi),1/4 tsp asafoetida (hing), salt to taste,2 1/2 cups surti papadi, salt to taste,"1/2 purple yam (kand) , peeled and cut into cubes","1/2 cup baby potatoes , peeled",5 to 7 small brinjals (baingan / eggplant),1/2 cup green peas,1/2 cup fresh toovar,1/2 cup sliced tendli (ivy gourd),"3 drumsticks  ,  cut into 3"" pieces",1/2 tsp carom seeds (ajwain), a pinch baking soda,1/8 tsp oil brush (for greasing),1 tbsp chopped coriander (dhania),,,,,
Vegetable Corn Bake ( Diabetic Recipe ),1 cup besan (bengal gram flour),1/4 cup grated sweet corn kernels (makai ke dane),1/4 cup grated cabbage,1/4 cup shredded spinach (palak),1/4 cup grated carrot,1 tsp ginger-green chilli paste, salt to taste,1/2 tsp sugar,2 tbsp finely chopped coriander (dhania),1 tsp fruit salt,1/4 tsp oil for greasing,1 tsp oil for cooking,1/2 tsp mustard seeds ( rai / sarson),1 tsp sesame seeds (til), a pinch asafoetida (hing),1 tbsp finely chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,
Paneer Mutter Kodri ( Diabetic Recipe ),2 tsp oil,1/2 tsp cumin seeds (jeera),1/4 cup finely chopped onions,1/2 tsp garlic (lehsun) paste,1/2 tsp ginger-green chilli paste,1/2 tsp dried fenugreek leaves  (kasuri methi),"1 big tomato , blanched and grated",1 tsp chilli powder,1/2 tsp garam masala, a pinch of sugar,1/2 cup chopped low fat paneer( cottage cheese),1/4 cup boiled green peas, salt to taste,2 1/2 cups of cooked kodri (varagu),2 tbsp finely chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,
Vegetable Handva ( Microwave Recipe),4 1/2 tsp oil for greasing and tempering,"3/4 cup idli batter ,  readily available in the market",1 tbsp curds (dahi),1/2 cup grated bottle gourd (doodhi / lauki),1/4 cup grated carrot, a pinch of turmeric powder (haldi),1/2 tsp chilli powder,1/2 tsp coriander-cumin seeds (dhania-jeera) powder,1/2 tsp ginger-garlic (adrak-lehsun) paste,1/2 tsp green chilli paste,1 tsp sugar, salt to taste,1/2 tsp fruit salt,1/2 tsp mustard seeds ( rai / sarson),1/2 tsp cumin seeds (jeera),1 tsp sesame seeds (til),1/4 tsp carom seeds (ajwain), a pinch of asafoetida (hing), green chutney,,,,,,,,,,,,,,,,,,,
Soya Sesame Khakhra,1/2 cup soya flour,1/4 cup whole wheat flour (gehun ka atta),1 tsp black sesame seeds (kala til), salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subzi Kadhi,2 tbsp besan (bengal gram flour),"2 cups low fat curds  (dahi) , beaten",1 tsp ginger-green chilli paste,2 curry leaves (kadi patta),2 tbsp sugar, salt to taste,1/2 tsp cumin seeds (jeera),1/2 tsp mustard seeds ( rai / sarson), a pinch of asafoetida (hing),"1 whole dry kashmiri red chilli , broken into pieces","1 cup chopped and boiled mixed vegetables (carrots ,  french beans and cauliflower)",2 tbsp chopped coriander (dhania) for garnishing,,,,,,,,,,,,,,,,,,,,,,,,,,
Panchkutiyu Shaak,2 tsp soya oil,1/2 tsp mustard seeds ( rai / sarson),1/4 tsp asafoetida (hing),1/2 cup peeled and cubed ridge gourd (turai),1 cup peeled and cubed potatoes,1 cup peeled and cubed bottle gourd (doodhi / lauki),1/2 cup green peas, salt to taste,1/2 cup soaked and roughly chopped soaked and chopped soya chunks,2 tbsp chopped coriander (dhania) for garnishing,1/2 cup finely chopped coriander (dhania),1/4 cup freshly grated coconut,1/2 tsp turmeric powder (haldi),1 tsp chilli powder,,,,,,,,,,,,,,,,,,,,,,,,
Gavar Pumpkin Vegetable ( Nutritious Recipe For Pregnancy),"2 cups cluster beans (gavarfali) , cut into 25 mm.  (1"") pieces",2 cups red pumpkin (bhopla / kaddu) cubes,1 tsp cumin seeds (jeera),1/2 tsp carom seeds (ajwain),1/4 tsp asafoetida (hing),1 tsp chilli powder,1/2 tsp turmeric powder (haldi),2 tsp coriander-cumin seeds (dhania-jeera) powder,1 tsp oil, salt to taste,1 tbsp chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice Panki ( Know Your Flours ),2 cups rice flour (chawal ka atta),1/2 cup curds (dahi), salt to taste,1/4 tsp asafoetida (hing),1/2 tsp crushed cumin seeds (jeera),1 tsp ginger-green chilli paste,2 tsp melted ghee, a pinch of turmeric powder (haldi),"4 to 6 banana leaves (kele ka patta) , cut into 150 mm × 150 mm  ( 6” × 6” ) square pieces", oil for greasing and cooking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jowar Khichu ( Know Your Flours ),1 tsp ginger-green chilli paste,1 tsp grated garlic (lehsun),1 tsp sesame seeds (til),"2 tsp fresh curd  ,  whisked", a pinch of baking soda, salt to taste,1 cup jowar (white millet) flour, oil for serving  (optional),1 tbsp chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dill Khakhra with Aachari Dip,1/2 cup whole wheat flour (gehun ka atta),1 tbsp finely chopped dill leaves,1/2 tsp ginger-green chilli paste, salt to taste, whole wheat flour (gehun ka atta) for rolling,1/2 tsp oil,1/4 tsp fenugreek (methi) seeds,1/4 tsp mustard seeds ( rai / sarson),1/2 tsp cumin seeds (jeera),1/2 tsp fennel seeds (saunf),1/4 tsp nigella seeds (kalonji), a pinch of asafoetida (hing),3/4 cup whisked hung low-fat curds,1/4 cup chopped coriander (dhania),1/2 tsp finely chopped green chillies, salt to taste, sugar to taste,,,,,,,,,,,,,,,,,,,,,
Surti Sev Khamani,1  lb chana dal (split Bengal gram),4 tbsp olive oil,1  small piece ginger (adrak),5 to 10 green chillies,3  cloves of garlic (lehsun),3 tbsp sugar,1 tsp turmeric powder (haldi),2 tbsp lemon juice,1 tsp cumin seeds (jeera),  a pinch of asafoetida (hing), salt to taste, coriander (dhania) leaves (garnishing),100 gms Sev,,,,,,,,,,,,,,,,,,,,,,,,,
Aanar Ka Raita,2 cups hung curds (chakka dahi),1 tbsp sugar,1/2 tsp freshly ground black pepper powder,1/2 tsp black salt (sanchal),1/4 tsp salt,1/2 tsp dry mint powder,1/2 cup fresh pomegranate (anar) seeds,2 tbsp chopped coriander (dhania),15 to 20 raisins (kismis),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masala Chaas ( Spicy Buttermilk),400 ml curds (dahi),1 tsp black salt (sanchal),1 tsp chaat masala, of ginger (adrak),"2 green chillies , finely chopped", a pinch asafoetida (hing), salt to taste,1 tsp lemon juice, a spring curry leaves (kadi patta),2 tbsp chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masala Chaas,1/2 cup curds (dahi),1/4 cup chopped coriander (dhania),1/4 cup mint leaves (phudina),"2 green chillies , finely chopped",1 tsp cumin seeds (jeera) powder,2 tsp black salt (sanchal), salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Undhiyu,"100 gms surti surati beans  (fresh vaal) , stringed , whole","100 gms chopped raw bananas , unpeeled","100 gms yam (suran) cubes , peeled","100 gms brinjal (baingan / eggplant) ,  slit","4 to 5 green chillies , crushed",1 tsp grated ginger (adrak),1/2 tsp crushed garlic (lehsun),1 tbsp finely chopped coriander (dhania) leaves,1 tsp whole wheat flour (gehun ka atta),4 tbsp oil,1/4 tsp asafoetida (hing),1/2 tsp turmeric powder (haldi),1 tsp carom seeds (ajwain), salt to taste,1/2 tbsp sugar, lemon juice to taste,100 gms finely chopped fenugreek (methi) leaves,1/2 cup besan (bengal gram flour),1 tsp chilli powder,1 tbsp grated coconut, salt to taste,1 tbsp oil,,,,,,,,,,,,,,,,
Nutritious Moong Khichidi,1/2 cup roasted moong dal (split  green gram),1 cu rice (chawal),2 tsp cumin seeds (jeera),1 tsp mustard seeds ( rai / sarson),"1 onion , chopped",2 to 3 whole dry kashmiri red chillies,3 to 4 tbsp dessicated coconut,2 to 3 tbsp chopped coriander (dhania),1 tsp freshly ground black pepper powder,2 tbsp oil,4 to 5 curry leaves (kadi patta), salt to taste,1 tsp finely chopped ginger (adrak),3 tbsp freshly grated coconut,4 to 5 green chillies,1 1/2 tsp poppy seeds (khus-khus),,,,,,,,,,,,,,,,,,,,,,
Instant Wheat Flour Chakali,1 cup whole wheat flour (gehun ka atta),1/2 tsp red chilli powder,1/2 tsp turmeric powder (haldi),1/2 tsp carom seeds (ajwain),1 tsp sesame seeds (til), a pinch of asafoetida (hing), salt to taste, water as required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patra,60 gms besan (bengal gram flour),1/4 tsp baking soda,4 green chillies,2 tsp chopped ginger (adrak),2 tsp jaggery (gur),1 tsp sesame seeds (til),3 tsp tamarind (imli),1 tsp crushed coriander (dhania) seeds,1/2 tsp mustard seeds ( rai / sarson),2 tbsp oil, salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farali Cool Dessert,1/2 cup sago (sabudana)  (medium size), sugar to taste,"1/2 cup saffron (kesar) strands flavoured cold milk , refer handy tip",1 cup mango pulp, water as required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
